Time,Desired Heading,Heading,1FAN_PW,
1,1800,0,3502,4199705
2,1800,0,3502,4199705
3,1800,0,3502,4199705
4,1800,0,3502,4199705
5,1800,1,3502,4199705
6,1800,2,3502,4199705
7,1800,5,3502,4199705
8,1800,9,3502,4199705
9,1800,15,3502,4199705
10,1800,23,3502,4199705
11,1800,34,3502,4199705
12,1800,46,3502,4199705
13,1800,62,3502,4199705
14,1800,81,3502,4199705
15,1800,102,3502,4199705
16,1800,126,3502,4199705
17,1800,153,3502,4199705
18,1800,183,3502,4199705
19,1800,217,3502,4199705
20,1800,253,3502,4199705
21,1800,294,3451,4199705
22,1800,338,3347,4199705
23,1800,385,3240,4199705
24,1800,435,3130,4199705
25,1800,488,3017,4199705
26,1800,544,2901,4199705
27,1800,601,2824,4199705
28,1800,659,2746,4199705
29,1800,719,2646,4199705
30,1800,780,2565,4199705
31,1800,840,2525,4199705
32,1800,901,2444,4199705
33,1800,962,2383,4199705
34,1800,1023,2322,4199705
35,1800,1084,2261,4199705
36,1800,1145,2200,4199705
37,1800,1206,2139,4199705
38,1800,1267,2078,4199705
39,1800,1327,2038,4199705
40,1800,1388,2028,4199705
41,1800,1449,2028,4199705
42,1800,1509,2028,4199705
43,1800,1570,2028,4199705
44,1800,1630,2028,4199705
45,1800,1690,2028,4199705
46,1800,1749,2028,4199705
47,1800,1807,2028,4199705
48,1800,1863,2028,4199705
49,1800,1918,2028,4199705
50,1800,1969,2028,4199705
51,1800,2018,2028,4199705
52,1800,2065,2028,4199705
53,1800,2108,2028,4199705
54,1800,2149,2028,4199705
55,1800,2186,2028,4199705
56,1800,2221,2028,4199705
57,1800,2253,2028,4199705
58,1800,2282,2028,4199705
59,1800,2308,2028,4199705
60,1800,2332,2028,4199705
61,1800,2352,2028,4199705
62,1800,2370,2028,4199705
63,1800,2384,2028,4199705
64,1800,2396,2028,4199705
65,1800,2405,2028,4199705
66,1800,2411,2034,4199705
67,1800,2415,2070,4199705
68,1800,2415,2150,4199705
69,1800,2413,2192,4199705
70,1800,2409,2236,4199705
71,1800,2403,2282,4199705
72,1800,2395,2330,4199705
73,1800,2385,2380,4199705
74,1800,2374,2411,4199705
75,1800,2361,2464,4199705
76,1800,2348,2477,4199705
77,1800,2333,2532,4199705
78,1800,2318,2547,4199705
79,1800,2302,2583,4199705
80,1800,2286,2599,4199705
81,1800,2269,2636,4199705
82,1800,2252,2653,4199705
83,1800,2234,2691,4199705
84,1800,2217,2688,4199705
85,1800,2199,2726,4199705
86,1800,2181,2744,4199705
87,1800,2163,2762,4199705
88,1800,2145,2780,4199705
89,1800,2127,2798,4199705
90,1800,2109,2816,4199705
91,1800,2091,2834,4199705
92,1800,2073,2852,4199705
93,1800,2055,2870,4199705
94,1800,2037,2888,4199705
95,1800,2019,2906,4199705
96,1800,2001,2924,4199705
97,1800,1984,2921,4199705
98,1800,1966,2959,4199705
99,1800,1948,2977,4199705
100,1800,1931,2974,4199705
101,1800,1913,3012,4199705
102,1800,1896,3009,4199705
103,1800,1878,3047,4199705
104,1800,1861,3044,4199705
105,1800,1845,3040,4199705
106,1800,1830,3035,4199705
107,1800,1816,3029,4199705
108,1800,1803,3022,4199705
109,1800,1791,3014,4199705
110,1800,1780,3005,4199705
111,1800,1769,3016,4199705
112,1800,1760,2985,4199705
113,1800,1751,2994,4199705
114,1800,1743,2982,4199705
115,1800,1735,2990,4199705
116,1800,1729,2956,4199705
117,1800,1723,2962,4199705
118,1800,1717,2968,4199705
119,1800,1713,2932,4199705
120,1800,1709,2936,4199705
121,1800,1705,2940,4199705
122,1800,1703,2902,4199705
123,1800,1700,2925,4199705
124,1800,1699,2886,4199705
125,1800,1697,2908,4199705
126,1800,1696,2889,4199705
127,1800,1696,2869,4199705
128,1800,1696,2869,4199705
129,1800,1696,2869,4199705
130,1800,1696,2869,4199705
131,1800,1697,2848,4199705
132,1800,1698,2847,4199705
133,1800,1699,2846,4199705
134,1800,1700,2845,4199705
135,1800,1701,2844,4199705
136,1800,1703,2822,4199705
137,1800,1705,2820,4199705
138,1800,1707,2818,4199705
139,1800,1709,2816,4199705
140,1800,1711,2814,4199705
141,1800,1713,2812,4199705
142,1800,1715,2810,4199705
143,1800,1717,2808,4199705
144,1800,1720,2785,4199705
145,1800,1722,2803,4199705
146,1800,1725,2780,4199705
147,1800,1727,2798,4199705
148,1800,1730,2775,4199705
149,1800,1732,2793,4199705
150,1800,1735,2770,4199705
151,1800,1737,2788,4199705
152,1800,1740,2765,4199705
153,1800,1742,2783,4199705
154,1800,1745,2760,4199705
155,1800,1747,2778,4199705
156,1800,1750,2755,4199705
157,1800,1752,2773,4199705
158,1800,1755,2750,4199705
159,1800,1757,2768,4199705
160,1800,1759,2766,4199705
161,1800,1761,2764,4199705
162,1800,1764,2741,4199705
163,1800,1766,2759,4199705
164,1800,1768,2757,4199705
165,1800,1770,2755,4199705
166,1800,1772,2753,4199705
167,1800,1774,2751,4199705
168,1800,1776,2749,4199705
169,1800,1778,2747,4199705
170,1800,1780,2745,4199705
171,1800,1781,2764,4199705
172,1800,1783,2742,4199705
173,1800,1785,2740,4199705
174,1800,1786,2759,4199705
175,1800,1788,2737,4199705
176,1800,1789,2756,4199705
177,1800,1790,2755,4199705
178,1800,1791,2754,4199705
179,1800,1793,2732,4199705
180,1800,1794,2751,4199705
181,1800,1795,2750,4199705
182,1800,1796,2749,4199705
183,1800,1796,2769,4199705
184,1800,1797,2748,4199705
185,1800,1798,2747,4199705
186,1800,1799,2746,4199705
187,1800,1799,2766,4199705
188,1800,1800,2745,4199705
189,1800,1800,2765,4199705
190,1800,1801,2744,4199705
191,1800,1801,2764,4199705
192,1800,1802,2743,4199705
193,1800,1802,2763,4199705
194,1800,1802,2763,4199705
195,1800,1803,2742,4199705
196,1800,1803,2762,4199705
197,1800,1803,2762,4199705
